timestamp,ip_address,username,operation,operation_result,detail,severity,source_file
2025-01-15 08:00:01,192.168.1.10,admin,LOGIN,SUCCESS,"User admin logged in from workstation",INFO,auth-service.log
2025-01-15 08:00:05,10.0.0.55,zhangsan,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:00:12,10.0.0.55,zhangsan,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:00:18,10.0.0.55,zhangsan,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:00:25,10.0.0.55,zhangsan,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:00:30,10.0.0.55,zhangsan,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:00:35,10.0.0.55,zhangsan,LOGIN,FAIL,"Account locked after repeated failures",ERROR,auth-service.log
2025-01-15 08:01:00,192.168.1.15,lisi,QUERY,SUCCESS,"Query user list with filter: dept=IT",INFO,query-service.log
2025-01-15 08:02:15,192.168.1.20,wangwu,EXPORT,SUCCESS,"Exported 1500 records to Excel",INFO,export-service.log
2025-01-15 08:03:00,192.168.1.10,admin,UPDATE,SUCCESS,"Updated user role: zhangsan -> ADMIN",INFO,admin-service.log
2025-01-15 08:04:30,172.16.0.88,hacker1,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:04:35,172.16.0.88,hacker1,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:04:40,172.16.0.88,root,LOGIN,FAIL,"Invalid password attempt for root",WARN,auth-service.log
2025-01-15 08:04:45,172.16.0.88,root,LOGIN,FAIL,"Invalid password attempt for root",WARN,auth-service.log
2025-01-15 08:04:50,172.16.0.88,admin,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:04:55,172.16.0.88,admin,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:05:00,172.16.0.88,admin,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:05:05,172.16.0.88,admin,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:05:10,172.16.0.88,test,LOGIN,FAIL,"Invalid password attempt",WARN,auth-service.log
2025-01-15 08:05:15,172.16.0.88,test,LOGIN,FAIL,"Brute force detected — IP blocked",ERROR,auth-service.log
2025-01-15 08:10:00,10.0.0.100,monitor,QUERY,SUCCESS,"Health check OK",DEBUG,monitor-service.log
